id,campo,titulo,contenido,lenguaje,created_at,updated_at
1,panoramicos,Panorámicos 360,"Actividad fotográfica que exige dedicación, cuidado por los colores, luces y sombras, amor por el detalle y mucha post producción, los panorámicos 360 son imágenes que reproducen un ambiente por sus cuatro costados incluyendo nadir y cenit.
Son imágenes ideales para mostrar, a través de medios digitales, espacios arquitectónicos, diseños de interior, futuros proyectos o lugares turísticos.
Los panorámicos 360 pueden ser fotografía directa, un ambiente creado digitalmente o una combinación de ambos.",espanol,2017-09-26 19:59:46.460667,2017-09-26 20:37:35.423746
3,panoramicos,Panoramiques 360,"C'est une activité photographique qui exige du dévouement, des soins pour les couleurs, les lumières et les ombres, l'amour pour les détails et beaucoup de post-production, panoramiques 360 sont des images qui reproduisent un environnement sur ses quatre côtés, y compris le nadir et le zénith.
Ce sont des images idéales pour montrer, à travers des médias numériques, des espaces architecturaux, des dessins d'intérieur, des projets futurs ou des lieux touristiques.
Les panoramiques 360 peuvent être une photographie directe, un environnement modelée numériquement ou une combinaison des deux.",frances,2017-09-26 20:00:38.896598,2017-09-26 20:40:37.57431
2,panoramicos,360 Panoramas,"It's a photographic activity that demands dedication, care for colors, lights and shadows, love for detail and lots of post production edition, the 360 panoramas are images that reproduce a space by its four sides including the nadir and zenith.
This are ideal images to show through digital media architectonic spaces, interior design, future projects or touristic places.
The 360 panoramas can ba a direct photography, a digitally modeled space or a mix of both.",ingles,2017-09-26 20:00:11.732574,2017-09-26 20:40:58.64135
5,renders,Render Digitales,"Los renders digitales son imágenes creadas por computador que representan de una forma fotorealista un espacio u objeto. El proceso de creación de una imagen de este tipo exige modelar en tres dimensiones el volumen del objeto o espacio para, después, continuar con la inclusión de una cuarta dimensión: las texturas. Realizado este proceso, se procede a armar un estudio fotográfico con luces y cámaras que a la postre, en un proceso llamado renderizado, revelarán la imagen con su volumen, colores, luces y sombras.
Pero esto no es todo: del proceso de renderizado también surgen otras imágenes tales como la oclusión ambiental, la profundidad (algo así como el desenfoque debido a la distancia) y otras más, que combinadas por capas en otro software, producen la imagen final, tal como si fuera tomada por una cámara fotográfica.",espanol,2017-09-26 20:46:31.701745,2017-09-27 13:22:43.301575
6,renders,Digital Renders,"The renders are computer generated images that represents in a photorealistic way an object or space. The process of creating one of this images, requires to model in three dimensions the volume of the object or space to, later,  continue with the inclusion of a fourth dimension: the textures. Being done with this, a photographic studio, including lights and cameras, is built; the one that will at the end produce, in a step called rendering, the development of the image with its volume, colors, lights and shadows.
But this is not the end: from the rendering process also emerge other images such as ambient occlusion, z-depth (something of the like a the blur generated in a camera by the distance) and others that, combined by layers in another software, produce the final image such as if it was taken by a real photographic camera.",ingles,2017-09-26 20:46:49.562973,2017-09-27 13:23:27.585526
8,productos,Fotografía de Productos,"Estos ejemplos de fotografía de productos han sido realizadas en estudio y en el exterior. La fotografía de joyería requiere cuidado con las luces, reflejos y el ambiente que reflejen la intención e inspiración de su creador. Estas imágenes requieren paciencia y pericia: ¡Las joyas son espejos terroríficos para un fotógrafo! 
Similar a las joyas, se encuentran los componentes eléctricos, herrajes metálicos, los cuales exigen al fotógrafo tanto como las joyas pero, al ser productos funcionales, el estudio donde se encuentran puede ser controlado de una manera más fácil.
Por último, las imágenes de la galería son productos en sí, una vez han sido impresas y enmarcadas, por esto, en esta categoría las imágenes escogidas por el cliente se imprimen en vinilo adheridas a una lámina de poliestireno enmarcadas en perfilería de aluminio.",espanol,2017-09-29 10:36:42.002872,2017-10-02 17:36:45.890164
9,productos,Product Photography,"This product photography examples have been realised in studio or in the exterior. The jewellery photography requires to be careful with the lights, reflections and that the environment shows the intention and inspiration of its maker. This images demand patience and expertise: The jewels are terrible mirrors for a photographer!
Similar to the jewels we can find the electrical components and metallic pieces which demands the photographer as much as the jewels but, as being functional products, the studio where they are photographed can be controlled in an easier way.
Last but not least, the images in the gallery button are products themselves once they have been printed and framed, that's why, in this category, the images chosen by the client are printed in a layer of vinyl that is adhered to a polystyrene sheet and framed with aluminium profiles.",ingles,2017-09-29 10:37:12.068493,2017-10-02 19:27:14.366161
10,productos,Photographie des Produits,Désolé. On n'a pas de la transcription encore. Dans quelque jours ce article serà actualise.,frances,2017-09-29 10:37:45.976544,2017-10-02 19:31:54.869652
7,renders,Renders Numeriques,Désolé. On n'a pas de la transcription encore. Dans quelque jours ce article serà actualise.,frances,2017-09-27 13:14:44.796493,2017-10-02 19:32:27.002152
15,galeria,Image Gallery,"All this images have been taken during the last 5 years mainly around South & North America, Europe and South East Asia. Even though I have thousands and thousands of images, these image gallery is limited to certain topics as landscapes, urban and others, that, as these two, are described by their name. This images are a selection that will be renewed time by time, once I do new trips or get absorbed by new projects.",ingles,2017-10-02 19:42:54.204734,2017-10-02 19:47:31.944732
14,galeria,Galería,"Estas imágenes han sido tomadas durante los últimos cinco años, principalmente en norte y sur america, europa y el sudeste asiático. No obstante poseo miles y miles de imágenes, esta galería se encuentra limitada por temáticas del tipo: paisajes, urbano y otras que, tal como las anteriores, son descritas por su propio nombre.
Esta es selección de fotografías que será renovada de vez en cuando, cada vez que haga un nuevo viaje o que algún nuevo proyecto me absorba.",espanol,2017-10-02 19:42:23.064639,2017-10-02 19:53:29.468629
16,galeria,Gallerie,Désolé. On n'a pas de la transcription encore. Dans quelque jours ce article serà actualise.,frances,2017-10-02 19:53:59.735001,2017-10-02 19:53:59.735001
17,gifs,Gifs,Désolé. On n'a pas de la transcription encore. Dans quelque jours ce article serà actualise.,frances,2017-10-02 19:54:15.048622,2017-10-02 19:54:15.048622
12,gifs,Gifs,"A Gif is a little video that reproduces itself over and over, creating a cycle that never ends.
The technique used to show objects or products, photographed or digitally modeled is to generate such an end of a cycle that, when stitched to the beginning, will apear to follow a smooth movement. In other words, the real and digital model turn themselves under a fixed axe showing all the sides of the product in a 360 degree movement.",ingles,2017-10-02 19:34:23.752814,2017-10-02 20:02:41.933672
11,gifs,Gifs,"Un Gif es un pequeño video que se reproduce una y otra vez, produciendo un ciclo, que nunca termina.
La técnica utilizada para mostrar objetos o productos, sean fotografiados o sean modelados y renderizados digitalmente es generar un fin de ciclo tal que, al empatarse con el principio, aparentará seguir un mismo movimiento fluido. Es decir, el modelo real y el modelo digital giran bajo un eje rígido mostrando todos los lados del producto en 360 grados.",espanol,2017-10-02 19:34:04.824923,2017-10-02 20:03:23.645587
